Time,Cycles,Photodiode Level,Hits,Misses
2022-02-04 10:29:42,0,0,0,0
2022-02-04 10:29:43,0,0,0,0
2022-02-04 10:29:44,0,0,0,0
2022-02-04 10:29:45,0,0.2747,1,0
2022-02-04 10:29:46,1,0.9834,2,0
2022-02-04 10:29:47,1,0.2747,3,0
2022-02-04 10:29:48,2,0.9785,4,0
2022-02-04 10:29:49,2,0.2747,5,0
2022-02-04 10:29:50,3,0.9804,6,0
2022-02-04 10:29:51,3,0.2747,7,0
2022-02-04 10:29:52,4,0.9795,8,0
2022-02-04 10:29:53,4,0.2747,9,0
2022-02-04 10:29:54,5,0.9814,10,0
2022-02-04 10:29:55,5,0.9814,10,0
2022-02-04 10:29:56,5,0.2757,11,0
2022-02-04 10:29:57,6,0.9804,12,0
2022-02-04 10:29:58,6,0.2757,13,0
2022-02-04 10:29:59,7,0.9795,14,0
2022-02-04 10:30:00,7,0.2757,15,0
2022-02-04 10:30:01,8,0.9804,16,0
2022-02-04 10:30:02,8,0.2747,17,0
2022-02-04 10:30:03,9,0.9795,18,0
2022-02-04 10:30:04,9,0.2757,19,0
2022-02-04 10:30:05,10,0.9795,20,0
2022-02-04 10:30:06,10,0.2757,21,0
2022-02-04 10:30:07,10,0.2757,21,0
2022-02-04 10:30:08,11,0.9873,22,0
2022-02-04 10:30:09,11,0.2757,23,0
2022-02-04 10:30:10,12,0.9834,24,0
2022-02-04 10:30:11,12,0.2757,25,0
2022-02-04 10:30:12,13,0.9824,26,0
2022-02-04 10:30:13,13,0.2766,27,0
2022-02-04 10:30:14,14,0.9824,28,0
2022-02-04 10:30:15,14,0.2766,29,0
2022-02-04 10:30:16,15,0.9834,30,0
2022-02-04 10:30:17,15,0.9834,30,0
2022-02-04 10:30:18,15,0.2757,31,0
2022-02-04 10:30:19,16,0.9785,32,0
2022-02-04 10:30:20,16,0.2757,33,0
2022-02-04 10:30:21,17,0.9834,34,0
2022-02-04 10:30:22,17,0.2766,35,0
2022-02-04 10:30:23,18,0.9795,36,0
2022-02-04 10:30:24,18,0.2766,37,0
2022-02-04 10:30:25,19,0.9785,38,0
2022-02-04 10:30:26,19,0.2766,39,0
2022-02-04 10:30:27,20,0.9795,40,0
2022-02-04 10:30:28,20,0.9795,40,0
2022-02-04 10:30:29,20,0.2776,41,0
2022-02-04 10:30:30,21,0.9941,42,0
2022-02-04 10:30:31,21,0.2796,43,0
2022-02-04 10:30:32,22,0.9932,44,0
2022-02-04 10:30:33,22,0.2796,45,0
2022-02-04 10:30:34,23,0.9804,46,0
2022-02-04 10:30:35,23,0.2766,47,0
2022-02-04 10:30:36,24,0.9785,48,0
2022-02-04 10:30:37,24,0.2766,49,0
2022-02-04 10:30:38,25,0.9834,50,0
2022-02-04 10:30:39,25,0.2786,51,0
2022-02-04 10:30:40,25,0.2786,51,0
2022-02-04 10:30:41,26,0.9873,52,0
2022-02-04 10:30:42,26,0.2776,53,0
2022-02-04 10:30:43,27,0.9795,54,0
2022-02-04 10:30:44,27,0.2766,55,0
2022-02-04 10:30:45,28,0.9814,56,0
2022-02-04 10:30:46,28,0.2766,57,0
2022-02-04 10:30:47,29,0.9883,58,0
2022-02-04 10:30:48,29,0.2766,59,0
2022-02-04 10:30:49,30,0.9795,60,0
2022-02-04 10:30:50,30,0.9795,60,0
2022-02-04 10:30:51,30,0.2766,61,0
2022-02-04 10:30:52,31,0.9795,62,0
2022-02-04 10:30:53,31,0.2766,63,0
2022-02-04 10:30:54,32,0.9873,64,0
2022-02-04 10:30:55,32,0.2805,65,0
2022-02-04 10:30:56,33,0.9892,66,0
2022-02-04 10:30:57,33,0.2805,67,0
2022-02-04 10:30:58,34,0.9922,68,0
2022-02-04 10:30:59,34,0.2805,69,0
2022-02-04 10:31:00,35,0.9951,70,0
2022-02-04 10:31:01,35,0.9951,70,0
2022-02-04 10:31:02,35,0.2776,71,0
2022-02-04 10:31:03,36,0.9814,72,0
2022-02-04 10:31:04,36,0.2766,73,0
2022-02-04 10:31:05,37,0.9804,74,0
2022-02-04 10:31:06,37,0.2766,75,0
2022-02-04 10:31:07,38,0.9775,76,0
2022-02-04 10:31:08,38,0.2766,77,0
2022-02-04 10:31:09,39,0.9853,78,0
2022-02-04 10:31:10,39,0.2776,79,0
2022-02-04 10:31:11,39,0.2776,79,0
2022-02-04 10:31:12,40,0.9814,80,0
2022-02-04 10:31:13,40,0.2766,81,0
2022-02-04 10:31:14,41,0.9844,82,0
2022-02-04 10:31:15,41,0.2766,83,0
2022-02-04 10:31:16,42,0.9824,84,0
2022-02-04 10:31:17,42,0.2776,85,0
2022-02-04 10:31:18,43,0.9834,86,0
2022-02-04 10:31:19,43,0.2776,87,0
2022-02-04 10:31:20,44,0.9775,88,0
2022-02-04 10:31:21,44,0.2776,89,0
2022-02-04 10:31:22,44,0.2776,89,0
2022-02-04 10:31:23,45,0.9834,90,0
2022-02-04 10:31:24,45,0.2776,91,0
2022-02-04 10:31:25,46,0.9844,92,0
2022-02-04 10:31:26,46,0.2766,93,0
2022-02-04 10:31:27,47,0.9785,94,0
2022-02-04 10:31:28,47,0.2776,95,0
2022-02-04 10:31:29,48,0.9814,96,0
